movie,name from script,lemmatized name,gender,len of words
2001-space-odyssey.pdf,HAL,HAL,m,5583
2001-space-odyssey.pdf,POOLE,POOLE,u,4687
2001-space-odyssey.pdf,FLOYD,FLOYD,m,4457
2001-space-odyssey.pdf,BOWMAN,BOWMAN,u,4386
2001-space-odyssey.pdf,NARRATOR,NARRATOR,u,2549
2001-space-odyssey.pdf,PILOT,PILOT,u,1726
2001-space-odyssey.pdf,SMYSLOV,SMYSLOV,u,1231
2001-space-odyssey.pdf,NARRATOR (CONT'D),NARRATOR,u,1163
2001-space-odyssey.pdf,MISSION CONTROL,MISSION,u,927
2001-space-odyssey.pdf,CENTRIFUGE,CENTRIFUGE,u,889
2001-space-odyssey.pdf,ELENA,ELENA,f,878
2001-space-odyssey.pdf,MICHAELS,MICHAELS,u,855
2001-space-odyssey.pdf,MILLER,MILLER,u,745
2001-space-odyssey.pdf,FLOYD (CONT'D),FLOYD,m,728
2001-space-odyssey.pdf,HALVORSEN,HALVORSEN,u,657
2001-space-odyssey.pdf,POD BAY,POD,u,571
2001-space-odyssey.pdf,PHOTOGRAPHER,PHOTOGRAPHER,u,553
2001-space-odyssey.pdf,SIMONSON,SIMONSON,u,486
2001-space-odyssey.pdf,CO-PILOT,CO,m,455
2001-space-odyssey.pdf,CHILD,CHILD,u,327
2001-space-odyssey.pdf,ARIES-IB COCKPIT,ARIES,u,242
2001-space-odyssey.pdf,SIMPSON,SIMPSON,u,235
2001-space-odyssey.pdf,COMMAND MODULE,COMMAND,u,223
2001-space-odyssey.pdf,"CONDITION"".",CONDITION,u,199
2001-space-odyssey.pdf,INSIDE CENTRIFUGE,INSIDE,u,182
2001-space-odyssey.pdf,CENTRIFUGE HUB,CENTRIFUGE,u,169
2001-space-odyssey.pdf,POOLE'S VOICE,POOLE,u,156
2001-space-odyssey.pdf,MOTHER,MOTHER,u,136
2001-space-odyssey.pdf,OPERATOR,OPERATOR,u,133
2001-space-odyssey.pdf,SAME POV,SAME,u,117
2001-space-odyssey.pdf,ORION-III COCKPIT,ORION,u,114
2001-space-odyssey.pdf,COMMUNICATIONS AREA,COMMUNICATIONS,u,79
2001-space-odyssey.pdf,FATHER,FATHER,u,66
2001-space-odyssey.pdf,"VISION""",VISION,u,65
2001-space-odyssey.pdf,AIRLOCK-LINK,AIRLOCK,u,63
2001-space-odyssey.pdf,STEWARDESS,STEWARDESS,u,49
2001-space-odyssey.pdf,RECEPTIONIST,RECEPTIONIST,u,34
2001-space-odyssey.pdf,VK INTEGRITY,VK,u,13
avatar.php,TSU'TEY,TSU,m,417
avatar.php,TRUDY:,TRUDY,f,408
avatar.php,MED TECH:,MED,u,394
avatar.php,CREW CHIEF:,CREW,u,324
avatar.php,INT. CORRIDOR,INT,u,271
avatar.php,TRUDY (INTERCOM),TRUDY,f,271
avatar.php,NEYTIRI:,NEYTIRI,u,259
avatar.php,JAKE (RECORDED),JAKE,m,258
avatar.php,EYTUKAN:,EYTUKAN,u,257
avatar.php,EXT. RAINFOREST,EXT,u,257
avatar.php,(NA'VI),NA,u,229
avatar.php,CROWD:,CROWD,u,193
avatar.php,(GRIMLY),GRIMLY,u,189
avatar.php,PERKY NEWSCASTER,PERKY,u,181
avatar.php,GRACE (O.S.),GRACE,f,174
avatar.php,(ANGUISHED),ANGUISHED,u,172
avatar.php,EXT. FOREST,EXT,u,172
avatar.php,(FRUSTRATED),FRUSTRATED,u,148
avatar.php,QUARITCH:,QUARITCH,u,147
