number,Unnamed: 0_x,imdbid,Title,Decade,Genre,Director,year,bechdel_rating,dubious,Unnamed: 0.1,Unnamed: 0_y,script_name,movie_name,male_percen,nonmale_percentage,dialogue_score,bechdel_score
0,0,38969,Song of the South,40s,Animation,"Wilfred Jackson, Harve Foster",1946,2,0,46,46,song-of-the-south.php,Song of the South,84.1,15.9,25,13.33
1,1,,Samson and Delilah,40s,Historical,Cecil B.DeMille,1949,,,,,,,,,,
2,2,31381,Gone with the Wind,40s,Drama,Victor Fleming,1939,3,,28,28,gone with the wind.php,Gone with the Wind,40.9,59.1,0,0
3,3,,The Bells of St. Mary,40s,Musical,Leo McCarey,1945,,,,,,,,,,
4,4,,Sergeant York,40s,War,Leo McCarey,1941,,,,,,,,,,
5,5,,Going My Way,40s,Musical,Howard Hawks,1944,,,3,3,Going My Way.pdf,Going My Way,83.29,16.71,25,
6,6,,Forever Amber,40s,Drama,"John M. Stahl, Otto Preminger",1947,,,23,23,foreveramber.pdf,Forever Amber,57.39,42.61,9.2375,
7,7,,Yankee Doodle Dandy,40s,Musical,Michael Curtiz,1942,,,,,,,,,,
8,8,34583,Casablanca,40s,Drama,Michael Curtiz,1942,1,0,20,20,casablanca.pdf,Casablanca,67.4,32.6,21.75,26.66
9,9,40806,The Snake Pit,40s,Drama,Anatole Litvak,1948,3,0,,,,,,,,0
10,10,49833,The Ten Commandments,50s,Historical,Cecile B.DeMille,1956,2,0,,,,,,,,13.33
11,11,45793,From Here To Eternity,50s,War,Fred Zinneman,1953,3,0,25,25,from_here_to_eternity_(1953).pdf,From Here To Eternity,72.92,27.08,25,0
12,12,44672,The Greatest Show on Earth,50s,Musical,Cecile B.DeMille,1952,2,0,,,,,,,,13.33
13,13,50212,The Bridge on the River Kwai,50s,War,David Lean,1957,1,0,,,,,,,,26.66
14,14,47673,White Christmas,50s,Musical,Michael Kurtiz,1954,3,0,63,63,white-christmas.pdf,White Christmas,73.04,26.96,25,0
15,15,43949,Quo Vadis?,50s,Historical,"Mervyn LeRoy, Anthony Mann",1951,3,1,42,42,quo vadis.pdf,Quo Vadis?,83.08,16.92,25,0
16,16,51459,Cat on a Hot Tin Roof,50s,Drama,Richard Brooks,1958,3,0,,,,,,,,0
17,17,53291,Some like it hot,50s,Comedy,Billy Wilder,1959,3,0,6,6,SomeLikeItHot.pdf,Some like it hot,53.54,46.46,4.425,0
18,18,,The Sea Chase,50s,War,John Farrow,1955,,,,,,,,,,
19,19,42192,All About Eve,50s,Drama,Joseph L. Mankiewicz,1950,3,,,,,,,,,0
20,20,59742,The Sound of Music,60s,Musical,Robert Wise,1965,3,0,10,10,The_Sound_Of_Music_2.pdf,The Sound of Music,25.29,74.71,0,0
21,21,61722,The Graduate,60s,Romance,Michael Nichols,1967,2,0,60,60,the-graduate.php,The Graduate,69.42,30.58,24.275,13.33
22,22,64115,Butch Cassidy and the Sundance Kid,60s,Action,George Roy Hill,1969,1,0,19,19,butch-cassidy-and-the-sundance-kid-1969.pdf,Butch Cassidy and the Sundance Kid,86.05,13.95,25,26.66
23,23,58331,Mary Poppins,60s,Fantasy,Robert Stevenson,1964,3,0,36,36,mary-poppins.php,Mary Poppins,53.54,46.46,4.425,0
24,24,56937,Cleopatra,60s,Historical,Joseph L. Mankiewicz,1963,3,0,,,,,,,,0
25,25,62622,2001: A Space Odyssey,60s,SCI-FI,Stanley Kubrick,1968,0,0,0,0,2001-space-odyssey.pdf,2001: A Space Odyssey,96.72,3.28,25,40
26,26,55614,West Side Story,60s,Musical,"Jerome Robbins, Robert Wise",1961,3,0,11,11,West-Side-Story-Read-The-Screenplay.pdf,West Side Story,67.31,32.69,21.6375,0
27,27,54215,Psycho,60s,Thriller,Alfred Hitchcock,1960,3,0,41,41,psycho.pdf,Psycho,66.59,33.41,20.7375,0
28,28,56172,Lawrence of Arabia,60s,Action,David Lean,1962,0,0,35,35,lawrence-of-arabia-1962.pdf,Lawrence of Arabia,99.36,0.64,25,40
29,29,,The Bible,60s,Historical,John Huston,1966,,,8,8,The Bible.pdf,The Bible,62.03,37.97,15.0375,
30,30,73195,JAWS,70s,Horror,Steven Spielberg,1975,3,0,33,33,jaws-1975.pdf,JAWS,90.84,9.16,25,0
31,31,76759,Star Wars: Episode IV - A New Hope,70s,SCI-FI,George Lucas,1977,1,0,7,7,Star Wars_ episode IV.php,Star Wars: Episode IV - A New Hope,88.03,11.97,25,26.66
32,32,70047,The Exorcist,70s,Horror,William Friedkin,1973,3,0,9,9,The-Exorcist.php,The Exorcist,83.91,16.09,25,0
33,33,77631,Grease,70s,Musical,Randal Kleiser,1978,3,0,4,4,Grease-Cast-Script-Final.pdf,Grease,78.02,21.98,25,0
