,script_name,movie_name,male_percen,nonmale_percentage
0,2001-space-odyssey.pdf,2001: A Space Odyssey,96.72,3.28
1,BlackPanther.pdf,Black Panther,77.91,22.09
2,Blazing-Saddles (1).pdf,Blazing Saddles,87.21,12.79
3,Going My Way.pdf,Going My Way,83.29,16.71
4,Grease-Cast-Script-Final.pdf,Grease,78.02,21.98
5,ManofSteelnSecondDraftn.pdf,Man of Steel,76.76,23.24
6,SomeLikeItHot.pdf,Some like it hot,53.54,46.46
7,Star Wars_ episode IV.php,Star Wars: Episode IV - A New Hope,88.03,11.97
8,The Bible.pdf,The Bible,62.03,37.97
9,The-Exorcist.php,The Exorcist,83.91,16.09
10,The_Sound_Of_Music_2.pdf,The Sound of Music,25.29,74.71
11,West-Side-Story-Read-The-Screenplay.pdf,West Side Story,67.31,32.69
12,avatar.php,Avatar,68.06,31.94
13,avengers-endgame-2019.pdf,Avengers: Endgame,78.09,21.91
14,backtothefuture.pdf,Back to the Future,83.52,16.48
15,batman-returns.pdf,Batman Returns,61.76,38.24
16,batman1989.php,Batman,74.99,25.01
17,batmanforever.php,Batman Forever,96.84,3.16
18,beverly-hills-copII.pdf,Beverly Hills Cop II,90.93,9.07
19,butch-cassidy-and-the-sundance-kid-1969.pdf,Butch Cassidy and the Sundance Kid,86.05,13.95
20,casablanca.pdf,Casablanca,67.40,32.60
21,dark-knight.php,The Dark Knight,73.72,26.28
22,fiddler on the roof.pdf,Fiddler on the Roof,46.90,53.10
23,foreveramber.pdf,Forever Amber,57.39,42.61
24,forrestgump.php,Forrest Gump,86.68,13.32
25,from_here_to_eternity_(1953).pdf,From Here To Eternity,72.92,27.08
26,ghost.pdf,Ghost,54.87,45.13
27,ghostbuster.php,Ghostbusters,86.68,13.32
28,gone with the wind.php,Gone with the Wind,40.90,59.10
29,harry-potter-and-the-deathly-hollows-part-2-2011.pdf,Harry Potter and the Deathly Hallows: Part 2,78.10,21.90
30,harry-potter-and-the-halfblood-prince.pdf,Harry Potter and the Half Blood Prince ,79.64,20.36
31,harry-potter-and-the-sorcerers-stone-2001.pdf,Harry Potter and the Sorcerers Stone,80.11,19.89
32,independenceday.php,Independence Day,85.05,14.95
33,jaws-1975.pdf,JAWS,90.84,9.16
34,jurassicpark.php,Jurassic Park,85.14,14.86
35,lawrence-of-arabia-1962.pdf,Lawrence of Arabia,99.36,0.64
36,mary-poppins.php,Mary Poppins,53.54,46.46
37,meninblack.php,Men in Black,89.07,10.93
38,mission-impossible2 (1).pdf,Mission Impossible II,97.43,2.57
39,pirates-of-the-caribbean-dead-mans-chest-2006.pdf,Pirates of the Caribbean: Dead Mans Chest,83.66,16.34
40,pirates-of-the-caribbean-the-curse-of-the-black-pearl-2003.pdf,Pirates of the Caribbean: The Curse of the Black Pearl,87.36,12.64
41,psycho.pdf,Psycho,66.59,33.41
42,quo vadis.pdf,Quo Vadis?,83.08,16.92
43,rocky.php,Rocky,98.54,1.46
44,rogerrabbit.php,Who Framed Roger Rabbit,91.12,8.88
45,rogue-one.php,Rogue One: A Star Wars Story,80.73,19.27
46,song-of-the-south.php,Song of the South,84.10,15.90
47,spider-man-2-2004.pdf,Spider-Man 2,84.22,15.78
48,spiderman.pdf,Spiderman,86.44,13.56
49,star wars_the-empire-strikes-back.php,Star Wars: Episode V - The Empire Strikes Back,86.21,13.79
50,star-wars-lastjedi.php,Star Wars: Episode VIII - The Last Jedi,62.84,37.16
51,star-wars-return-of-jedi.php,Star Wars: Episode VI - Return of the Jedi,86.94,13.06
52,star-wars-the-force-awakens.pdf,Star Wars: The Force Awakens,78.99,21.01
53,starwars_revenge-of-sith.php,Star Wars: Episode III - Revenge of the Sith,89.32,10.68
54,starwars_thephantomenace.php,Star Wars: Episode I - The Phantom Menace,79.70,20.30
55,superman.php,Superman,69.52,30.48
56,supermanII.pdf,Superman II,75.89,24.11
57,terminator-2-judgement-day-1991.pdf,Terminator 2: Judgment Day,74.32,25.68
58,the-avengers-2012.pdf,The Avengers,83.58,16.42
59,the-godfather.php,The Godfather,86.44,13.56
60,the-graduate.php,The Graduate,69.42,30.58
61,titanic-numbered.pdf,Titanic,63.33,36.67
62,top-gun-1986.pdf,Top Gun,94.10,5.90
63,white-christmas.pdf,White Christmas,73.04,26.96
64,x-men-days-of-future-past-2014.pdf,X-Men: Days of Future Past,76.21,23.79
