,Unnamed: 0,script_name,movie_name,male_percen,nonmale_percentage,score
0,0,2001-space-odyssey.pdf,2001: A Space Odyssey,96.72,3.28,25.0
1,1,BlackPanther.pdf,Black Panther,77.91,22.09,25.0
2,2,Blazing-Saddles (1).pdf,Blazing Saddles,87.21,12.79,25.0
3,3,Going My Way.pdf,Going My Way,83.29,16.71,25.0
4,4,Grease-Cast-Script-Final.pdf,Grease,78.02,21.98,25.0
5,5,ManofSteelnSecondDraftn.pdf,Man of Steel,76.76,23.24,25.0
6,6,SomeLikeItHot.pdf,Some like it hot,53.54,46.46,4.424999999999999
7,7,Star Wars_ episode IV.php,Star Wars: Episode IV - A New Hope,88.03,11.97,25.0
8,8,The Bible.pdf,The Bible,62.03,37.97,15.037500000000001
9,9,The-Exorcist.php,The Exorcist,83.91,16.09,25.0
10,10,The_Sound_Of_Music_2.pdf,The Sound of Music,25.29,74.71,0.0
11,11,West-Side-Story-Read-The-Screenplay.pdf,West Side Story,67.31,32.69,21.637500000000003
12,12,avatar.php,Avatar,68.06,31.94,22.575000000000003
13,13,avengers-endgame-2019.pdf,Avengers: Endgame,78.09,21.91,25.0
14,14,backtothefuture.pdf,Back to the Future,83.52,16.48,25.0
15,15,batman-returns.pdf,Batman Returns,61.76,38.24,14.699999999999998
16,16,batman1989.php,Batman,74.99,25.01,25.0
17,17,batmanforever.php,Batman Forever,96.84,3.16,25.0
18,18,beverly-hills-copII.pdf,Beverly Hills Cop II,90.93,9.07,25.0
19,19,butch-cassidy-and-the-sundance-kid-1969.pdf,Butch Cassidy and the Sundance Kid,86.05,13.95,25.0
20,20,casablanca.pdf,Casablanca,67.4,32.6,21.750000000000007
21,21,dark-knight.php,The Dark Knight,73.72,26.28,25.0
22,22,fiddler on the roof.pdf,Fiddler on the Roof,46.9,53.1,0.0
23,23,foreveramber.pdf,Forever Amber,57.39,42.61,9.2375
24,24,forrestgump.php,Forrest Gump,86.68,13.32,25.0
25,25,from_here_to_eternity_(1953).pdf,From Here To Eternity,72.92,27.08,25.0
26,26,ghost.pdf,Ghost,54.87,45.13,6.087499999999997
27,27,ghostbuster.php,Ghostbusters,86.68,13.32,25.0
28,28,gone with the wind.php,Gone with the Wind,40.9,59.1,0.0
29,29,harry-potter-and-the-deathly-hollows-part-2-2011.pdf,Harry Potter and the Deathly Hallows: Part 2,78.1,21.9,25.0
30,30,harry-potter-and-the-halfblood-prince.pdf,Harry Potter and the Half Blood Prince ,79.64,20.36,25.0
31,31,harry-potter-and-the-sorcerers-stone-2001.pdf,Harry Potter and the Sorcerers Stone,80.11,19.89,25.0
32,32,independenceday.php,Independence Day,85.05,14.95,25.0
33,33,jaws-1975.pdf,JAWS,90.84,9.16,25.0
34,34,jurassicpark.php,Jurassic Park,85.14,14.86,25.0
35,35,lawrence-of-arabia-1962.pdf,Lawrence of Arabia,99.36,0.64,25.0
36,36,mary-poppins.php,Mary Poppins,53.54,46.46,4.424999999999999
37,37,meninblack.php,Men in Black,89.07,10.93,25.0
38,38,mission-impossible2 (1).pdf,Mission Impossible II,97.43,2.57,25.0
39,39,pirates-of-the-caribbean-dead-mans-chest-2006.pdf,Pirates of the Caribbean: Dead Mans Chest,83.66,16.34,25.0
40,40,pirates-of-the-caribbean-the-curse-of-the-black-pearl-2003.pdf,Pirates of the Caribbean: The Curse of the Black Pearl,87.36,12.64,25.0
41,41,psycho.pdf,Psycho,66.59,33.41,20.737500000000004
42,42,quo vadis.pdf,Quo Vadis?,83.08,16.92,25.0
43,43,rocky.php,Rocky,98.54,1.46,25.0
44,44,rogerrabbit.php,Who Framed Roger Rabbit,91.12,8.88,25.0
45,45,rogue-one.php,Rogue One: A Star Wars Story,80.73,19.27,25.0
46,46,song-of-the-south.php,Song of the South,84.1,15.9,25.0
47,47,spider-man-2-2004.pdf,Spider-Man 2,84.22,15.78,25.0
48,48,spiderman.pdf,Spiderman,86.44,13.56,25.0
49,49,star wars_the-empire-strikes-back.php,Star Wars: Episode V - The Empire Strikes Back,86.21,13.79,25.0
50,50,star-wars-lastjedi.php,Star Wars: Episode VIII - The Last Jedi,62.84,37.16,16.050000000000004
51,51,star-wars-return-of-jedi.php,Star Wars: Episode VI - Return of the Jedi,86.94,13.06,25.0
52,52,star-wars-the-force-awakens.pdf,Star Wars: The Force Awakens,78.99,21.01,25.0
53,53,starwars_revenge-of-sith.php,Star Wars: Episode III - Revenge of the Sith,89.32,10.68,25.0
54,54,starwars_thephantomenace.php,Star Wars: Episode I - The Phantom Menace,79.7,20.3,25.0
55,55,superman.php,Superman,69.52,30.48,24.399999999999995
56,56,supermanII.pdf,Superman II,75.89,24.11,25.0
57,57,terminator-2-judgement-day-1991.pdf,Terminator 2: Judgment Day,74.32,25.68,25.0
58,58,the-avengers-2012.pdf,The Avengers,83.58,16.42,25.0
59,59,the-godfather.php,The Godfather,86.44,13.56,25.0
60,60,the-graduate.php,The Graduate,69.42,30.58,24.275000000000002
61,61,titanic-numbered.pdf,Titanic,63.33,36.67,16.662499999999998
62,62,top-gun-1986.pdf,Top Gun,94.1,5.9,25.0
63,63,white-christmas.pdf,White Christmas,73.04,26.96,25.0
64,64,x-men-days-of-future-past-2014.pdf,X-Men: Days of Future Past,76.21,23.79,25.0
