,imdbid,Title,Decade,Genre,Director,year,bechdel_rating,male_percen,nonmale_percentage,dialogue_score,bechdel_score,count,inappropriate_count,descriptions_score,_merge,gaze_score
0,38969,Song of the South,40s,Animation,"Wilfred Jackson, Harve Foster",1946,2.0,84.1,15.9,25.0,13.33,1.0,0.0,0.0,both,38.33
1,41838,Samson and Delilah,40s,Historical,Cecil B.DeMille,1949,,,,,,9.0,0.0,0.0,both,0.0
3,31381,Gone with the Wind,40s,Drama,Victor Fleming,1939,3.0,40.9,59.1,0.0,0.0,16.0,0.0,0.0,both,0.0
4,37536,The Bells of St. Mary,40s,Musical,Leo McCarey,1945,,,,,,4.0,0.0,0.0,both,0.0
5,34167,Sergeant York,40s,War,Leo McCarey,1941,,,,,,1.0,0.0,0.0,both,0.0
6,36872,Going My Way,40s,Musical,Howard Hawks,1944,,83.29,16.71,25.0,,5.0,0.0,0.0,both,25.0
7,39391,Forever Amber,40s,Drama,"John M. Stahl, Otto Preminger",1947,,57.39,42.61,9.2375,,5.0,0.0,0.0,both,9.2375
8,35575,Yankee Doodle Dandy,40s,Musical,Michael Curtiz,1942,,,,,,2.0,0.0,0.0,both,0.0
9,34583,Casablanca,40s,Drama,Michael Curtiz,1942,1.0,67.4,32.6,21.75,26.66,32.0,0.0,1.0166828861393022,both,49.4266828861393
10,40806,The Snake Pit,40s,Drama,Anatole Litvak,1948,3.0,,,,0.0,7.0,0.0,0.0,both,0.0
11,49833,The Ten Commandments,50s,Historical,Cecile B.DeMille,1956,2.0,,,,13.33,13.0,0.0,0.0,both,13.33
12,45793,From Here To Eternity,50s,War,Fred Zinneman,1953,3.0,72.92,27.08,25.0,0.0,42.0,0.0,2.6641178923953843,both,27.664117892395385
13,44672,The Greatest Show on Earth,50s,Musical,Cecile B.DeMille,1952,2.0,,,,13.33,5.0,0.0,0.0,both,13.33
