Title,Decade,Genre,Director,Reviews
Song of the South,40s,Animation,"Wilfred Jackson, Harve Foster",https://www.imdb.com/title/tt0038969/reviews?ref_=tt_urv
Samson and Delilah,40s,Historical,Cecil B.DeMille,https://www.imdb.com/title/tt0041838/reviews?ref_=tt_urv
Gone with the Wind,40s,Drama,Victor Fleming,https://www.imdb.com/title/tt0031381/reviews?ref_=tt_urv
The Bells of St. Mary,40s,Musical,Leo McCarey,https://www.imdb.com/title/tt0037536/reviews?ref_=tt_urv
Sergeant York,40s,War,Leo McCarey,https://www.imdb.com/title/tt0034167/reviews?ref_=tt_urv
Going My Way,40s,Musical,Howard Hawks,https://www.imdb.com/title/tt0036872/reviews?ref_=tt_urv
Forever Amber,40s,Drama,"John M. Stahl, Otto Preminger",https://www.imdb.com/title/tt0039391/reviews?ref_=tt_urv
Yankee Doodle Dandy,40s,Musical,Michael Curtiz,https://www.imdb.com/title/tt0035575/reviews?ref_=tt_urv
Casablanca,40s,Drama,Michael Curtiz,https://www.imdb.com/title/tt0034583/reviews?ref_=tt_urv
The Snake Pit,40s,Drama,Anatole Litvak,https://www.imdb.com/title/tt0040806/reviews?ref_=tt_urv
The Ten Commandments,50s,Historical,Cecile B.DeMille,https://www.imdb.com/title/tt0049833/reviews?ref_=tt_urv
From Here To Eternity,50s,War,Fred Zinneman,https://www.imdb.com/title/tt0045793/reviews?ref_=tt_urv
The Greatest Show on Earth,50s,Musical,Cecile B.DeMille,https://www.imdb.com/title/tt0044672/reviews?ref_=tt_urv
The Bridge on the River Kwai,50s,War,David Lean,https://www.imdb.com/title/tt0044672/reviews?ref_=tt_urv
White Christmas,50s,Musical,Michael Kurtiz,https://www.imdb.com/title/tt0047673/reviews?ref_=tt_urv
Quo Vadis?,50s,Historical,"Mervyn LeRoy, Anthony Mann",https://www.imdb.com/title/tt0043949/reviews?ref_=tt_urv
Cat on a Hot Tin Roof,50s,Drama,Richard Brooks,https://www.imdb.com/title/tt0051459/reviews?ref_=tt_urv
Some like it hot,50s,Comedy,Billy Wilder,https://www.imdb.com/title/tt0053291/reviews?ref_=tt_urv
The Sea Chase,50s,War,John Farrow,https://www.imdb.com/title/tt0048593/reviews?ref_=tt_urv
All About Eve,50s,Drama,Joseph L. Mankiewicz,https://www.imdb.com/title/tt0042192/reviews?ref_=tt_urv
The Sound of Music,60s,Musical,Robert Wise,https://www.imdb.com/title/tt0059742/reviews?ref_=tt_urv
The Graduate,60s,Romance,Michael Nichols,https://www.imdb.com/title/tt0061722/reviews?ref_=tt_urv
