,MOVIE_ID,Title,REV_ID,score,compound,sentiment,label,sexist score
0,0,Song of the South,0,{'neg': 0.07 neu': 0.725 pos': 0.205 'compound': 0.9977},0.9977,pos,not sexist,0.997496665
1,0,Song of the South,1,{'neg': 0.099 neu': 0.811 pos': 0.09 'compound': -0.1779},-0.1779,neg,not sexist,0.998755455
2,0,Song of the South,2,{'neg': 0.141 neu': 0.728 pos': 0.131 'compound': 0.0},0.0,pos,not sexist,0.997687221
3,0,Song of the South,3,{'neg': 0.122 neu': 0.769 pos': 0.109 'compound': -0.9638},-0.9638,neg,not sexist,0.99929297
4,0,Song of the South,4,{'neg': 0.028 neu': 0.843 pos': 0.129 'compound': 0.9827},0.9827,pos,not sexist,0.997713566
5,0,Song of the South,5,{'neg': 0.073 neu': 0.766 pos': 0.162 'compound': 0.9937},0.9937,pos,not sexist,0.998593152
6,0,Song of the South,6,{'neg': 0.066 neu': 0.75 pos': 0.183 'compound': 0.9302},0.9302,pos,not sexist,0.997475326
7,0,Song of the South,7,{'neg': 0.092 neu': 0.796 pos': 0.111 'compound': 0.936},0.936,pos,not sexist,0.999308228
8,0,Song of the South,8,{'neg': 0.075 neu': 0.834 pos': 0.09 'compound': 0.8967},0.8967,pos,not sexist,0.99746716
9,0,Song of the South,9,{'neg': 0.077 neu': 0.756 pos': 0.167 'compound': 0.9906},0.9906,pos,not sexist,0.998596013
10,0,Song of the South,10,{'neg': 0.04 neu': 0.809 pos': 0.151 'compound': 0.9722},0.9722,pos,not sexist,0.997727215
11,0,Song of the South,11,{'neg': 0.142 neu': 0.705 pos': 0.152 'compound': 0.35},0.35,pos,not sexist,0.998464584
12,0,Song of the South,12,{'neg': 0.063 neu': 0.777 pos': 0.16 'compound': 0.9672},0.9672,pos,not sexist,0.997766137
13,0,Song of the South,13,{'neg': 0.099 neu': 0.83 pos': 0.071 'compound': -0.9104},-0.9104,neg,not sexist,0.998963952
14,0,Song of the South,14,{'neg': 0.0 neu': 0.692 pos': 0.308 'compound': 0.8689},0.8689,pos,not sexist,0.997907519
15,0,Song of the South,15,{'neg': 0.133 neu': 0.656 pos': 0.211 'compound': 0.926},0.926,pos,not sexist,0.998963952
16,0,Song of the South,16,{'neg': 0.13 neu': 0.711 pos': 0.159 'compound': 0.7606},0.7606,pos,not sexist,0.997772872
