MOVIE_ID,Title,Decade,Genre,Director,
0,Song of the South,40s,Animation,"Wilfred Jackson, Harve Foster"
1,Samson and Delilah,40s,Historical,Cecil B.DeMille
2,Gone with the Wind,40s,Drama,Victor Fleming
3,The Bells of St. Mary,40s,Musical,Leo McCarey
4,Sergeant York,40s,War,Leo McCarey
5,Going My Way,40s,Musical,Howard Hawks
6,Forever Amber,40s,Drama,"John M. Stahl, Otto Preminger"
7,Yankee Doodle Dandy,40s,Musical,Michael Curtiz
8,Casablanca,40s,Drama,Michael Curtiz
9,The Snake Pit,40s,Drama,Anatole Litvak
10,The Ten Commandments,50s,Historical,Cecile B.DeMille
11,From Here To Eternity,50s,War,Fred Zinneman
12,The Greatest Show on Earth,50s,Musical,Cecile B.DeMille
13,The Bridge on the River Kwai,50s,War,David Lean
14,White Christmas,50s,Musical,Michael Kurtiz
15,Quo Vadis?,50s,Historical,"Mervyn LeRoy, Anthony Mann"
16,Cat on a Hot Tin Roof,50s,Drama,Richard Brooks
17,Some like it hot,50s,Comedy,Billy Wilder
18,The Sea Chase,50s,War,John Farrow
19,All About Eve,50s,Drama,Joseph L. Mankiewicz
20,The Sound of Music,60s,Musical,Robert Wise
21,The Graduate,60s,Romance,Michael Nichols
22,Butch Cassidy and the Sundance Kid,60s,Action,George Roy Hill
23,Mary Poppins,60s,Fantasy,Robert Stevenson
24,Cleopatra,60s,Historical,Joseph L. Mankiewicz
25,2001: A Space Odyssey,60s,SCI-FI,Stanley Kubrick
26,West Side Story,60s,Musical,"Jerome Robbins, Robert Wise"
27,Psycho,60s,Thriller,Alfred Hitchcock
28,Lawrence of Arabia,60s,Action,David Lean
29,The Bible,60s,Historical,John Huston
30,JAWS,70s,Horror,Steven Spielberg
31,Star Wars: Episode IV - A New Hope,70s,SCI-FI,George Lucas
32,The Exorcist,70s,Horror,William Friedkin
33,Grease,70s,Musical,Randal Kleiser
34,The Godfather,70s,Crime,Francis Ford Coppola
35,Blazing Saddles,70s,Western,Mel Brooks
36,Rocky,70s,Action,John G. Avildsen
37,Love Story,70s,Romance,Arthur Hiller
38,Superman,70s,Action,Mario Puzo
39,Fiddler on the Roof,70s,Musical,Norman Jewison
40,Star Wars: Episode V - The Empire Strikes Back,80s,SCI-FI,George Lucas
41,E.T. the Extra-Terrestrial,80s,SCI-FI,Steven Spielberg
42,Batman,80s,Action,Tim Burton
43,Star Wars: Episode VI - Return of the Jedi,80s,SCI-FI,George Lucas
44,Ghostbusters,80s,Fantasy,Ivan Reitman
45,Back to the Future,80s,SCI-FI,Robert Zemeckis
46,Top Gun,80s,Action,Tony Scott
47,Beverly Hills Cop II,80s,Action,Tony Scott
48,Who Framed Roger Rabbit,80s,Animation,Robert Zemeckis
49,Superman II,80s,Action,Richard Lester
50,Titanic,90s,Drama,James Cameron
51,Star Wars: Episode I - The Phantom Menace,90s,SCI-FI,George Lucas
52,Jurassic Park,90s,SCI-FI,Steven Spielberg
53,Independence Day,90s,SCI-FI,Roland Emmerich
54,Forrest Gump,90s,Drama,Robert Zemeckis
55,Men in Black,90s,SCI-FI,Barry Sonnenfeld
56,Ghost,90s,Romance,Jerry Zucker
57,Terminator 2: Judgment Day,90s,Action,James Cameron
58,Batman Returns,90s,Action,Tim Burton
59,Batman Forever,90s,Action,Joel Schumacher
60,The Dark Knight,2000s,Action,Christopher Nolan
61,Pirates of the Caribbean: Dead Mans Chest,2000s,Action,Gore Verbinski
62,Spiderman,2000s,Action,Sam Raimi
63,Harry Potter and the Half Blood Prince ,2000s,Fantasy,David Yates
64,Star Wars: Episode III - Revenge of the Sith,2000s,SCI-FI,George Lucas
65,Spider-Man 2,2000s,Action,Sam Raimi
66,Transformers,2000s,Action,Michael Bay
67,Pirates of the Caribbean: The Curse of the Black Pearl,2000s,Action,Gore Verbinski
68,Harry Potter and the Sorcerers Stone,2000s,Fantasy,Chris Columbus
69,Mission Impossible II,2000s,Action,John Woo
70,Avengers: Endgame,2010s,Action,"Anthony Russo, Joe Russo"
71,Black Panther,2010s,Action,Ryan Coogler
72,Star Wars: The Force Awakens,2010s,SCI-FI,George Lucas
73,The Avengers,2010s,Action,Joss Whedon
74,Star Wars: Episode VIII - The Last Jedi,2010s,SCI-FI,George Lucas
75,Avatar,2010s,SCI-FI,James Cameron
76,Man of Steel,2010s,Action,Zack Snyder
77,Rogue One: A Star Wars Story,2010s,SCI-FI,Gareth Edwards
78,Harry Potter and the Deathly Hallows: Part 2,2010s,Fantasy,David Yates
79,X-Men: Days of Future Past,2010s,Action,Bryan Singer
