MOVIE_ID,REV_ID,Reviews
0,0,"This film will never receive a clean bill of political correctness, but neither will any film made before the 1960s. In fact, Song of the South presents some of the least offensive portraits of African Americans you can find from the time. If you really need to compare, go find any other film starring Hattie McDaniel  start with Gone With the Wind  and note how much more dignity she has in the Disney movie. Uncle Remus (James Baskett, who is utterly, utterly exceptional) is perhaps the most charming character you'll find. He's much more stereotypical of an elderly man than a black man. A smart man with strong morals and a clever way of delivering them, he seems to see things more clearly than anyone else in the film. No, Uncle Remus is a kind man who loves humanity, and this love is infectious. The movie made me very happy to be alive. A more politically correct version of the film would have him rebelling against white society with violence. It's kind of sad that we can't abide blacks and whites actually getting along, preaching brotherhood. The live action bits are very good (although I think Bobby Driscoll is a bit weak in the lead), but it is the animated pieces (and the live action/animation sequences) that make Song of the South great. Br'er Rabbit, Fox, and Bear are wonderful characters, and these three segments represent some of the best animation Disney ever did. The mixed scenes are amazing (was this the first time it was done?). I especially liked when Uncle Remus went fishing with Br'er Frog. Uncle Remus lights his pipe with an animated flame, and blows an animated smoke ring that turns into a square (which is, of course, also politically incorrect). I suspect that the biggest reason this film stirs so many negative emotions is the black dialect used in the film. I think that bugs people a lot. Really, though, blacks from the rural South have and have had their own accents and ways of speaking just as they have and have had in any other region. While the accents in this film are somewhat fabricated, I'm sure, I think that it would be a far cry to think of them as harmful to anybody. The hurt that people feel over this movie is the real fabrication, induced by PC thugs who seem to want to cause rifts between peoples. I think that a re-release of Song of the South could possibly have a beneficial effect on race relations in the United States, as it does depict dear friendships and respect between the races, something that I think we quite need at the moment."
0,1,"When I was about five years old, I saw this film with my older cousins who were in their twenties at the time and I don't remember hearing them saying anything negative about it.  This is ironic, because I am African-American. Everyone must remember that this film was released in the 1940's before the civil rights movement and before ""Roots"".  Now because of political correctness, we have all but forgotten this classic film, which was one of the first to combine live action and animation.  Even though I do agree that this film does show slavery in a positive light you also should look at the fact that it dared to show the friendship between an African-American and a Caucasian, something that would never have even been thought about in those days.  Next thing you know, someone might get the bright idea to ban ""The Cosby Show"" because it supposedly doesn't portray how the average black person really lives."
0,2,"I saw this on one of it's re-releases when I was very young and it has stayed with me.  It is one of Disney's best efforts and I'd love to see it again.  Unfortunately, Disney is loathe to offend anyone and it therefore seems that this film will be consigned to the vaults because Disney is unwilling to risk any heat.  It's too bad, because the film teachs tolerance among other lessons.  Recommended, if you can see it at all."
0,3,"For its time, a time when segregation was still aggressively enforced in the United States, 'Song of the South' was likely a progressive film, a major family film many of whose main characters were black, and whose animated characters were voiced by a black performer. Now, of course, 'Song of the South' is considered problematic due to its depiction of black slaves as happy and complacent, and its portrayal of them as Uncle Tom stereotypes.Look closer, however, and you'll see a fine family film, warmhearted and gentle, both a technical landmark and a dazzling series of fables as told by Uncle Remus, the movie itself serving up a number of its own morals -- like the fact that a parent's good intentions can unwittingly stifle their child, or that storytelling is key to one's moral and social development.None of this matters, of course. Walt Disney has now chosen to ignore the film on the basis of its reportedly offensive depiction of African-Americans in the post-Civil War era. For one, this film was not intended as propaganda or considered offensive at the time, and was merely the product of American perceptions of the 1940s; it's not any worse than the scores of westerns that depicted Native Americans as savage Injuns. Of course, Native Americans were and continue to be a marginalized group while African-Americans have maintained a desire to assimilate and have. Being that African-Americans have been far more vocal in their rejection of the injustices committed against them, it goes without saying that white-on-black bigotry is a far more sensitive issue than white-on-Indian bigotry (despite the fact that the Native Americans have suffered just as greatly at the hand of The Man as African-Americans), and therefore, we're less willing to excuse movies like 'Song of the South' than we are films like 'The Searchers.'But then why is 'Gone With the Wind' still given the green-light and not 'Song of the South'? Well, the answer is simple: The Walt Disney Corporation. Walt Disney will go to any length to keep its reputation clean, and 'Song of the South' is construed as a serious threat to it -- therefore, placing the film on moratorium and making it unavailable simply deters controversy. They can't undo it, but they can certainly hide it. It matters not the value of the film. In a heartbeat, Disney would withdraw something as beloved as the 'The Little Mermaid' if it were one day decided that the film was unfair or offensive in its depiction of mermaids. In 'Song of the South,' one sees an innocence and warmth. In current Disney films, one sees a lot more of the cynicism and calculation of a soulless capitalistic corporate entity.The depiction of blacks in current cinema is a lot more shameful and offensive than anything in 'Song of the South.' Consider personalities like Chris Tucker, Martin Lawrence, and films such as 'Phat Beach' and 'Friday,' which depict African-Americans as lazy, dope-smoking ne'er-do-wells who treat women badly and have no morals. I guess the fact that these films are largely created by African-Americans for African-American audiences gives them a dubious seal of authenticity, being that African-American entertainers are, ostensibly, no longer being exploited by the white man and have developed their own independent voice. If that's true, why is it so much more difficult for black filmmakers such as Charles Burnett and Julie Dash, filmmakers with a truly independent voice, to either find financing for their films, or be met with commercial acceptance? 'Song of the South' might be inaccurate in its depiction of slavery, but it never makes a point of being *about* slavery, and it's no more inaccurate than hundreds of Hollywood's historical epics and costume dramas. By making 'Song of the South' unavailable, Disney is doing a disservice to those involved in the film and, more importantly, to the millions who harbor fond memories of it."
0,4,"Political correctness having been pounded into our heads by the media, I can understand the underlying racial issues that have blunted this Disney film's reputation--no one really wants to be reminded of this particular era (the post-Civil War) when rich Southern white folks called the shots and the black folk did all the hard work--but I can't imagine any film-goer of any color passing up the chance to see James Baskett as Uncle Remus (this was his swan song, dying about a year after this film's original release and just a few months after winning a special Oscar for his contribution). I saw this in the 1970s at a drive-in theater and the experience was magical, it stuck with me for years. It's an emotional, lovely movie about childhood, the friendship between kids and adults, and the confusion about right and wrong. There are no issues here about white and black, but then, this isn't the proper film to address those issues. It is the South at the turn of the century, and in that regard it's not much different from ""Gone With The Wind"". There are beautiful animated interludes and a handful of terrific songs, Brer Bear is a riotous Disney character, and the live-action youngsters (Bobby Driscoll and Luana Patten) are wonderful--the scene where he gives her his fancy collar is quite poignant. Driscoll and Patten were later teamed in Disney's ""So Dear To My Heart"", which is also worth finding. ""Song of the South"" is a film with a great big heart that needs to come out of the vaults. Let viewers judge for themselves."
0,5,"I recently viewed 'Song of the South' after not having seen it for at least 15 years if not longer. The last time that I had seen this wonderful family film was when I was around nine years old during one of its several theatrical re-issues in the early 1980's. OK, some say that this film is politically incorrect. No, it isn't. Let me explain and let's look at the positive messages before jumping to conclusions please: This film is not ABOUT SLAVERY. It is a film that has slavery in it, yes, but it is not the subject of the film. The subject of the film is the friendship between an elderly kind man (he's a African-American!!!!) and a nice little boy (he's Caucasian!) This little boy looks up to Uncle Remus as if Remus is god-like. For a 1946 film to treat a subject in this way is commendable. Tell you what if you want to get angry at a film try a myriad of other 1940's films and see the negative portrayals of black actors in them; you'll find none of that here. At all. My opinion and quite frankly a truthful one. Now, enough with the 2004 cynical comments and on with the show.I will say this right now: It is deplorable that Disney has not released this film when movies like 'Gone With The Wind' and 'The Charlie Chan Collection' are being released by major studios with disclaimers, etc. dealing with the views of some political groups who get their shorts in an uproar over the most benign issues and should focus their powers elsewhere and leave a beloved family film with a great message alone.This film has several genuinely touching moments that culminate in the innovative technique of combing animation (the amazing 'Brer Rabbit sequences) with live-action actors. Disney was the George Lucas of his day and he has managed to do what some have thought lacking in the recent Star Wars films; connect to an audience with animated characters! There's heart and soul in this film. Bottom line--Disney, a good company, is depriving itself of a goldmine because people are still paying to get copies of this film from outside resources and would gladly plunk down hard-earned ca$h for an anniversary edition, with as many disclaimers as Disney would like to stamp on it, make it a net-exclusive or something...it's depressing to think that this will never be released on video here in the United States. Really, what is the worse that would happen? There'd be a minor stink and then guess what? I'd have 'Song of The South' on my DVD shelf along with other lovers of great films and we'd all move on to the next thing and have a zip-a-dee-doo-dah Day!"
0,6,"The black people in this movie aren't depicted as lazy or stupid or criminal. Uncle Remus is depicted as a wise and caring man. It's true that the black people are depicted as subservient, but what movie from this period doesn't portray them as such? It would be historically inaccurate to depict the opposite. Should EVERY movie from this period with black people in it be banned? Disney is run by politically correct buffoons. Ironically, the song Zip-a-Dee-Doo-Dah. is played at Disneyland. The animation in Technicolor is beautiful. Some of the acting is rather stiff, but it's a warm hearted tale, and the Bre'r Rabbit stories are fun."
0,7,"I think it's a great shame that the 1946 Walt Disney classic, ""Song Of The South,"" has been banned in the U.S. because some civil rights groups **15 years ago** complained that the movie was racist and they did not want it to be shown anymore. And Disney, not wanting to offend anyone, bowed down to their demands and yanked the film from public viewing in North America, where it has not been seen since. The only way you can watch ""Song Of The South"" now is if you still own a laserdisc player and you're willing to spring for a costly Japanese import disc, OR if you manage to track down a UK VHS copy of the film released in 1997 and have it transferred. Well, having viewed a transferred VHS copy of ""Song Of The South"" recently, I can honestly say that this is a marvelous Disney movie that is NOT racist and does NOT deserve to be hidden away. While I can certainly understand the concerns of the civil rights groups over ""Song Of The South,"" the fact that the movie is set during the turn-of-the-century South when many blacks served subservient roles is NOT a good enough reason to hide the film away from the public. This is not an issue of racism, it is simply a historical fact. Furthermore, the black characters in ""Song Of The South"" are all treated with respect. They are not treated badly, nor are they spoken to badly. Further still, are we going to destroy all copies of ""Gone With The Wind"" just because it features a black maid? Think about it.What also upsets me about the shunning of ""Song Of The South"" in the U.S. is that most Americans will now never get to see anymore the marvelous performance of James Baskett as the loveable storyteller Uncle Remus (and Baskett DID win an Honorary Oscar for his fine work in this film, lest we forget). Nor will Americans ever get to see again the wonderful Disney artistry on display in ""Song Of The South"" that perfectly blends live action with animation (the very first film to do so, if I'm not mistaken). They won't get to enjoy the hilarious adventures of Brer Rabbit ever again. Nor will they be able to sing along with the Oscar-winning song, ""Zip-A-Dee-Doo-Dah"" anymore. All of this, in my opinion, is very, very shameful.I strongly implore Walt Disney Productions to reconsider re-issuing ""Song Of The South"" in North America, if *only* for a limited time on home video, so anybody Stateside who wants the film can finally have it. And with all due respect to the civil rights groups who complained about ""Song Of The South"" back in 1986, I strongly implore them to seriously rethink the ban that they had Disney place upon the film. On the Grammy telecast this past year, just before mega-controversial rapper Eminem took the stage to perform ""Stan,"" the Grammy president came onstage to give a little pep talk about freedom of speech & freedom of expression. He said that we cannot ban certain artists and their work just because it makes certain people uncomfortable. The EXACT same thing can be said for Walt Disney's ""Song Of The South."""
0,8,"If you ever ride one of Disney's Splash Mountain rides, you're seeing the characters from this movie, which has remained locked in the Disney vault - at least in America, as it has been released in Japan, Germany and the UK on VHS and DVD - because in the words of executive chairman and former CEO Bob Iger, Song of the South is ""not appropriate in today's world.""Let me explain to you how wrong the world once was and pretty much still is. A special Academy Award was given to James Baskett ""for his able and heart-warming characterization of Uncle Remus, friend and story teller to the children of the world."" He was the first African-American to ever win any type of Oscar. But when the movie premiered in Atlanta, the actor was prohibited from attending because the city was racially segregated by law. This wasn't during the Civil War. This was during your parent's or grandparent's lifetimes.When the movie was released, Walter Francis White - the executive secretary of the National Association for the Advancement of Colored People (NAACP) - sent newspapers a statement that said, ""The National Association for the Advancement of Colored People recognizes in Song of the South remarkable artistic merit in the music and in the combination of living actors and the cartoon technique. It regrets, however, that in an effort neither to offend audiences in the north or south, the production helps to perpetuate a dangerously glorified picture of slavery. Making use of the beautiful Uncle Remus folklore, Song of the South unfortunately gives the impression of an idyllic master-slave relationship which is a distortion of the facts."" He had not seen the film nor realized that it was set after the end of the Civl War. Perhaps a more balanced view came from his fellow NAACP member Norma Jensen who remarked that the film was ""so artistically beautiful that it is difficult to be provoked over the clichés, yet it has all the clichés in the book.""The major issue is that the film features the subserviant status of black characters, the way they dress, their exaggerated dialect and other archaic depections of black people. The stories come from Uncle Remus by Joel Chandler Harris, who was a racial reconciliation activist writer. That doesn't help the film's overall tone.The major thrust of the movie is that a white child named Johnny is inspired by the tales of Bre'e Rabbit, Br'er Fox and Br'er Bear that are told by Remus. His mother doesn't understand and thinks that the stories are making her son - who is already dealing with the seperation of his parents - too much of a rebel. Uncle Remus attempts to leave the plantation as a result, but when Johnny is hit by a bull, only his the stories and songs of the old man can save his young friend.The funny thing is that as dated as the movie's attitudes seemed in 1946, it was still re-released in U. S. theaters as late as 1986, when it seemed incredibly wrong. And while Disney has never released the film on home video in the U. S., it eventually will. That's because the film will go into public domain in 2039 and Disney will lose all copyright to the film if it is not physically released in theaters, on hoem video or via Disney+.That said - who knows? I recently watched the film and can see the issues, but when Whoopi Goldberg was made a Disney Legend, she said that she hoped that the movie would be reissued so that people could start a dialogue about it.Today, characters and songs from the film appear in various Disney media yet children never associate them with this film, which would never be seen if it weren't for the internet and convention DVD sellers.I wish there could be an assessment of this film and a discussion of what is wrong about it, while understanding that many of Uncle Remus' lessons could teach us plenty. But this fim remains a media landmine and even the whispers of a home release in 2007 led to controversy and threats of legal action.You should see it for yourself, make up your own mind and treat everyone with the dignity they deserve. But you already knew that."
0,9,"""Song of the South"" has been unavailable in the United States for many years. Apart from a re-release in the mid-1980s, Walt Disney has not released the film in the US on video or DVD. I was only able to see it because it was released in Japan on laser disc. Why you might wonder. Well, because there are a lot of offensive themes due to changing sensibilities. Back in the 1940s, showing happy blacks living like slaves in the South was quite acceptable—now folks naturally see these sorts of portrayals as racist. Still, because the movie is so good, I really wish Disney would release it and provide some sort of prologue (such as the ones Leonard Maltin has done with some of the offensive Disney shorts in their recent DVD releases) explaining changing times, attitudes and how the film can be appreciated despite its flaws.The film's star is clearly Uncle Remus (James Baskett). The acting of Basket Is terrific and he provided the voices of the animated characters (Brer Fox, Rabbit and Bear). And, his singing was just wonderful. Because of this alone, it's a darn shame Disney his sitting on this film.Uncle Remus is a happy ex-slave (the film takes place around 1870) and he regales a lonely boy (Bobby Driscoll) with wonderful folk tales meant to cheer him up and teach important life lessons. When he tells these tales, they come to life through colorful animation. The best parts, in my opinion, are when Remus himself enters these animated scenes—long before this was done with ""Who Framed Roger Rabbit?"". I also adored the animation in general, as the characters were hilarious. In addition, you have a nice supporting performance by Hattie McDaniel as Aunt Tempe as well as Fay Bainter as the boy's grandmother.So is the film worth seeing? You betcha—provided you can find a copy. My attitude is that by shelving the film, you neglect a fine, fine performance by James Baskett and also ignore an important part of our heritage. After all, films on Turner Classic Movies or Shirley Temple DVDs are widely available and they often contain terribly dated and more offensive stereotypes. Plus, in the case of the Temple films, if you shelve them because one might have an offensive performance by Steppin Fetchit, you'll also lose the WONDERFUL dancing of one of the great dancers, Bill 'Bojangles' Robinson! Disney.re-release this film!"
