,imdb,Movie,Writer,Gender,male_percentage,nonmale_percentage
0,tt1289401,Ghostbusters,Katie Dippold,female,86.68,13.32
1,tt1289401,Ghostbusters,Paul Feig,male,86.68,13.32
2,tt0081573,Superman II,Leslie Newman,female,75.89,24.11
3,tt0081573,Superman II,David Newman,male,75.89,24.11
4,tt0081573,Superman II,Mario Puzo,male,75.89,24.11
5,tt0081573,Superman II,Tom Mankiewicz,male,75.89,24.11
6,tt0081573,Superman II,David Newman,male,75.89,24.11
7,tt0078346,Superman,Leslie Newman,female,69.52,30.48
8,tt0078346,Superman,David Newman,male,69.52,30.48
9,tt0078346,Superman,Robert Benton,male,69.52,30.48
10,tt0078346,Superman,Mario Puzo,male,69.52,30.48
11,tt0078346,Superman,Tom Mankiewicz,male,69.52,30.48
12,tt1877832,X-Men: Days of Future Past,Jane Goldman,female,76.21,23.79
13,tt1877832,X-Men: Days of Future Past,Matthew Vaughn,male,76.21,23.79
14,tt1877832,X-Men: Days of Future Past,Simon Kinberg,male,76.21,23.79
15,tt0241527,Harry Potter and the Philosopher's Stone,J. K. Rowling,female,80.11,19.89
16,tt0241527,Harry Potter and the Philosopher's Stone,Steve Kloves,male,80.11,19.89
17,tt0031381,Gone with the Wind,Margaret Mitchell,female,40.9,59.1
18,tt0031381,Gone with the Wind,John Van Druten,male,40.9,59.1
19,tt0031381,Gone with the Wind,Ben Hecht,male,40.9,59.1
20,tt0031381,Gone with the Wind,Jo Swerling,male,40.9,59.1
21,tt0031381,Gone with the Wind,Sidney Howard,male,40.9,59.1
22,tt0047673,White Christmas,Vera-Ellen,female,73.04,26.96
23,tt0047673,White Christmas,Rosemary Clooney,female,73.04,26.96
24,tt0047673,White Christmas,Melvin Frank,male,73.04,26.96
25,tt0047673,White Christmas,Bing Crosby,male,73.04,26.96
26,tt0047673,White Christmas,Danny Kaye,male,73.04,26.96
27,tt0047673,White Christmas,Norman Panama,male,73.04,26.96
28,tt0047673,White Christmas,Norman Krasna,male,73.04,26.96
29,tt0103064,Terminator 2: Judgment Day,Gale Anne Hurd,female,74.32,25.68
30,tt0103064,Terminator 2: Judgment Day,James Cameron,male,74.32,25.68
31,tt0103064,Terminator 2: Judgment Day,William Wisher,male,74.32,25.68
32,tt0080684,Star Wars: Episode V – The Empire Strikes Back,Leigh Brackett,female,86.21,13.79
33,tt0080684,Star Wars: Episode V – The Empire Strikes Back,George Lucas,male,86.21,13.79
34,tt0080684,Star Wars: Episode V – The Empire Strikes Back,Lawrence Kasdan,male,86.21,13.79
35,tt0043949,Quo Vadis,Sonya Levien,female,83.08,16.92
36,tt0043949,Quo Vadis,Henryk Sienkiewicz,male,83.08,16.92
37,tt0043949,Quo Vadis,John Lee Mahin,male,83.08,16.92
38,tt0043949,Quo Vadis,S. N. Behrman,male,83.08,16.92
39,tt0092099,Top Gun,"Jack Epps, Jr.",male,94.1,5.9
40,tt0092099,Top Gun,Jim Cash,male,94.1,5.9
41,tt0077631,Grease,Bronté Woodard,male,78.02,21.98
42,tt0077631,Grease,Allan Carr,male,78.02,21.98
43,tt4154796,Avengers: Endgame,Christopher Markus,male,78.09,21.91
44,tt4154796,Avengers: Endgame,Stephen McFeely,male,78.09,21.91
45,tt4154796,Avengers: Endgame,Stan Lee,male,78.09,21.91
46,tt4154796,Avengers: Endgame,Jack Kirby,male,78.09,21.91
